topic_id,topic_label,n_speeches,Government_count,Government_terms,Opposition_count,Opposition_terms,Other_count,Other_terms
0,"agenda, draft, law, proposal, debate",125,50,"agenda, committee, proposal, vote, search, debate, government, law, affairs, article, assembly, decision, draft, following, item",22,"draft, point, law, resolution, draft resolution, reading, second, second reading, amending, committee, draft law, paragraph, reading draft, act, president",53,"vote, agenda, proposal, debate, law, amendment, motions, today, item, president, questions, report, committee, reading, shall"
1,"minutes, meeting, sitting, hours, time",102,33,"minutes, meeting, sitting, agenda, 10, time, discussion, meetings, open, session, speaking, speaking time, 11, 30, 35",12,"minutes, sitting",57,"meeting, minutes, hours, sitting, 10, time, agenda, closed, negotiations, point, session, tomorrow, 10 minutes, closing, ll"
2,"thank, mr, ladies, members, mr president",78,34,"ladies, gentlemen, ladies gentlemen, thank, members, like, session, bih, federal, mr, president, representatives, today, warmly, council",9,"mr, mr president, president, thank, thank mr",35,"thank, mr, house, dear, members, minister, parliament, dear parliament, thank mr, floor, lord, prime, prime minister, welcome, calm"
3,"case, minister, supreme, representative, council",68,34,"minister, representative, mr, national, question, national representative, assembly, like, question national, today, bjarni, bjarni jónsson, general, georgi, hrund",0,,34,"ukraine, council, supreme, supreme council, council ukraine, minister, members, rules, ukrainian, government, national, prime, prime minister, report, republic"
4,"assembly, national assembly, national, session, extraordinary",60,32,"assembly, session, national, national assembly, 12th, extraordinary, meeting, 12th assembly, republic, extraordinary session, republic serbia, serbia, session national, assembly republic, held",11,"assembly, sejm, session, day, national, national assembly, parliamentary, 14, 2022, agenda, concludes, hour, meeting, session sejm, statements",17,"group, meeting, assembly, parliament, july, national, national assembly, 2023, according, discuss, house, july 2023, law, november, parliamentary"
5,"yeah, right, don, agreed, okay",47,23,"don, yes",2,,22,"right, yeah, agreed"
6,"votes, favour, votes favour, abstentions, 23",33,9,"vote, did, did vote, mps, stopping, stopping vote, total, vote total, 161, 161 did, 163, 163 161, abstention, total 163",0,,24,"face, votes, favour, votes favour, telematics, correspondents, delegates, face face, abstentions, delegates face, 23, 23 telematics, face 23, 54, 57"
7,"hour, 13, policy, finance, hour 30",29,28,"hour, 13, 30, 10, committee, finance, policy, public, public finance, finance hour, hour 30, 14, affairs, culture, culture media",0,,1,
8,"procedure, rules procedure, rules, working, reasons",28,18,"riigikogu, procedure, rules, rules procedure, session, extraordinary, extraordinary session, members, affairs, dear, good, law, members riigikogu, riigikogu law, session riigikogu",2,,8,"riigikogu, working, hours, session, members, members riigikogu, procedure, session riigikogu, thursday, thursday session"
9,"thank thank, thank, welcome, , ",27,12,thank,5,thank,10,thank
10,"sign, colleagues, register, presence, does",26,9,"does, presence, sign, asked, asked sign, does asked",0,,17,"colleagues, register, sign, let, ask, dear, dear colleagues, presence, registered, registration"
11,"danish, political, family, think, housing",24,22,"jakobsen, svend, svend jakobsen, minister, danish, family, memory, political, 1981, anker, anker jørgensen, elected, finance, folketing, housing",0,,2,
12,"vote, voting vote, start voting, podemos, voting",21,4,,1,,16,"vote, begins, vote begins"
13,"mps, mps present, present, electronic, number mps",19,15,"mps, mps present, present, ask, ask mps, electronic, electronic voting, hall, present hall, voting, number, number mps, order, applying, applying electronic",0,,4,
14,"thank, thank thank, work, thank work, answers",15,2,,2,,11,"thank, work"
15,"total, 108, 40, 45, ",14,12,"129, 2421, total",1,,1,
16,"good, good morning, morning, good afternoon, afternoon",14,4,,1,,9,"good, good morning, morning, afternoon, good afternoon"
17,"vote vote, vote, vote let, raising hands, raising",14,6,vote,2,,6,vote
18,"parliamentary group, parliamentary, group, item, text",13,0,,0,,13,"parliamentary, group, parliamentary group, vote, catalonia, item, junts, text, article, article text, catalonia article, items, number, parliamentary subgroup, party"
19,"result, vote, 41, check, votes",12,5,"vote, check, did, did vote, result, result vote, vote check",0,,7,"vote, mr, result, votes, vote result"
20,"quorum, work, number votes, basis, number",12,8,"quorum, work, session, decision, mps, needed, needed work, quorum needed, quorum work, session quorum, today",0,,4,
21,"house, motion resolution, motion, resolution, agreement",12,7,"motion, motion resolution, resolution, house",1,,4,
