group,n_speeches,overall_sentiment_mean,overall_sentiment_std,ORG_sentiment_mean,ORG_sentiment_std,ORG_n_speeches,ORG_total_mentions,LOC_sentiment_mean,LOC_sentiment_std,LOC_n_speeches,LOC_total_mentions,MISC_sentiment_mean,MISC_sentiment_std,MISC_n_speeches,MISC_total_mentions,topic
Government,58,0.9869949369089772,0.046792826068157496,0.9852662288273374,0.08463907152111624,33,134,0.9216815229682694,0.2481843569825598,14,21,0.9170266288022201,0.24150378051586338,15,35,Other
Opposition,27,0.9592868979376408,0.1907455094960063,0.9247675855954488,0.2913738880838016,15,31,0.9451142052809397,0.13444219118884126,6,9,1.0,0.0,5,19,Other
Government,8,0.9613880021148639,0.07784750631125956,1.0,0.0,8,49,0.9598876547181244,0.04632566394856721,4,28,0.9542768307221241,0.07163812198039297,5,28,Mix
Opposition,8,0.7764691797091845,0.25735107662669,0.8383964617347734,0.25057589975206485,7,38,0.4893288782280353,0.49674860370939256,5,17,0.7846254973284279,0.20779770989731647,4,15,Mix
Government,2,0.826826810074071,0.10411034548013919,0.8424995919534315,0.0350145086687249,2,14,0.7440656726248562,0.361945796850764,2,6,0.9247036178906759,,1,6,Government Operations
Opposition,7,0.7645811225489579,0.31600402995608906,0.8779223544791784,0.20857107219676008,6,64,0.764015357781318,0.2730745432179898,4,17,0.7943330550376602,0.3562255981122445,3,41,Government Operations
Government,2,0.9239553878168492,0.10754332189481429,1.0,0.0,2,10,1.0,,1,1,,,0,0,Health
Opposition,3,0.89653018223729,0.13793651865150744,0.8659857114156088,0.2321195567683635,3,9,,,0,0,0.47153178602457047,0.41515150491741537,2,4,Health
Government,2,0.7337148594434815,0.36191076985952714,0.52856663800776,0.6667074542845706,2,10,0.23532370633135238,,1,6,0.6413178630173206,0.5072531427018694,2,9,Civil Rights
Opposition,2,0.5030238530342032,0.14860308940233918,0.577222465382268,0.11680852845962023,2,5,0.5448659833675871,0.028845569809430066,2,11,0.7025863591374623,0.03305542396581853,2,11,Civil Rights
Government,3,0.9520438803359866,0.08306243579192413,1.0,0.0,3,14,1.0,0.0,2,7,1.0,,1,5,Education
Opposition,2,0.9767251020440688,0.03291567635212763,0.9830155306392245,0.02401966691971888,2,19,0.8502865508198738,,1,4,1.0,0.0,2,5,Education
